from,to,relation
hpr,fh,1
hpr,mf,1
hpr,me,1
hpr,cw,1
hpr,rhl,1
hpr,rvp,1
hpr,pg,1
hpr,mvh,1
hpr,mr,1
hpr,pw,1
hpr,rr,1
hpr,bmw,1
hpr,am,1
hpr,fr,1
hpr,ig,1
fh,hpr,1
fh,mf,1
fh,me,1
fh,cw,1
fh,rhl,1
fh,rvp,1
fh,pg,1
fh,mvh,1
fh,mr,1
fh,pw,1
fh,rr,1
fh,bmw,1
fh,am,1
fh,fr,1
fh,ig,1
me,hpr,1
me,fh,1
me,cw,1
me,rhl,1
me,rvp,2
me,pg,1
me,mvh,2
me,mr,1
me,pw,2
me,rr,1
me,bmw,1
me,am,2
me,fr,1
me,ig,1
cw,hpr,1
cw,fh,1
cw,me,1
cw,cw,1
cw,rhl,1
cw,rvp,1
cw,pg,1
cw,mvh,1
cw,mr,1
cw,pw,1
cw,rr,1
cw,bmw,1
cw,am,1
cw,fr,1
cw,ig,1
rhl,hpr,1
rhl,fh,1
rhl,me,1
rhl,cw,1
rhl,rvp,1
rhl,pg,1
rhl,mvh,1
rhl,mr,1
rhl,pw,1
rhl,rr,1
rhl,bmw,1
rhl,am,1
rhl,fr,1
rhl,ig,1
rvp,hpr,1
rvp,fh,1
rvp,me,2
rvp,cw,1
rvp,rhl,1
rvp,pg,1
rvp,mvh,2
rvp,mr,1
rvp,pw,2
rvp,rr,1
rvp,bmw,1
rvp,am,2
rvp,fr,1
rvp,ig,1
pg,hpr,1
pg,fh,1
pg,me,1
pg,cw,1
pg,rhl,1
pg,rvp,1
pg,mvh,1
pg,mr,1
pg,pw,1
pg,rr,1
pg,bmw,1
pg,am,1
pg,fr,1
pg,ig,1
mvh,hpr,1
mvh,fh,1
mvh,me,2
mvh,cw,1
mvh,rhl,1
mvh,rvp,2
mvh,pg,1
mvh,mr,1
mvh,pw,2
mvh,rr,1
mvh,bmw,1
mvh,am,2
mvh,fr,1
mvh,ig,1
mr,hpr,1
mr,fh,1
mr,me,1
mr,cw,1
mr,rhl,1
mr,rvp,1
mr,pg,1
mr,mvh,1
mr,pw,1
mr,rr,1
mr,bmw,1
mr,am,1
mr,fr,1
mr,ig,1
pw,hpr,1
pw,fh,1
pw,me,2
pw,cw,1
pw,rhl,1
pw,rvp,2
pw,pg,1
pw,mvh,2
pw,mr,1
pw,rr,1
pw,bmw,1
pw,am,2
pw,fr,1
pw,ig,1
rr,hpr,1
rr,fh,1
rr,me,1
rr,cw,1
rr,rhl,1
rr,rvp,1
rr,pg,1
rr,mvh,1
rr,mr,1
rr,pw,1
rr,bmw,1
rr,am,1
rr,fr,1
rr,ig,1
bmw,hpr,1
bmw,fh,1
bmw,me,1
bmw,cw,1
bmw,rhl,1
bmw,rvp,1
bmw,pg,1
bmw,mvh,1
bmw,mr,1
bmw,pw,1
bmw,rr,1
bmw,am,1
bmw,fr,1
bmw,ig,1
am,hpr,1
am,fh,1
am,me,2
am,cw,1
am,rhl,1
am,rvp,2
am,pg,1
am,mvh,2
am,mr,1
am,pw,2
am,rr,1
am,bmw,1
am,fr,1
am,ig,1
fr,hpr,1
fr,fh,1
fr,me,1
fr,cw,1
fr,rhl,1
fr,rvp,1
fr,pg,1
fr,mvh,1
fr,mr,1
fr,pw,1
fr,rr,1
fr,bmw,1
fr,am,1
fr,ig,1
ig,hpr,1
ig,fh,1
ig,me,1
ig,cw,1
ig,rhl,1
ig,rvp,1
ig,pg,1
ig,mvh,1
ig,mr,1
ig,pw,1
ig,rr,1
ig,bmw,1
ig,am,1
ig,fr,1
cw,afd,4
rhl,afd,4
bmw,afd,4
me,ksk,3
rvp,ksk,4
mvh,ksk,4
am,ksk,4
me,nda,4
me,mf,1
cw,mf,1
rhl,mf,1
rvp,mf,1
pg,mf,1
mvh,mf,1
mr,mf,1
pw,mf,1
rr,mf,1
bmw,mf,5
am,mf,1
fr,mf,1
ig,mf,2
mf,me,1
mf,cw,1
mf,rhl,1
mf,rvp,1
mf,pg,1
mf,mvh,1
mf,mr,1
mf,pw,1
mf,rr,1
mf,bmw,5
mf,am,1
mf,fr,1
mf,ig,2
